Методы

///////////////////////////

  	Имя	Описание
	AppendAllText	Перегружен. Добавляет указанную строку в файл, создавая файл, если он не существует.
	AppendText	Создает StreamWriter, добавляющий в существующий файл текст в кодировке UTF-8.
	Copy	Перегружен. Копирует существующий файл в новый файл.
	Create	Перегружен. Создает файл в заданном пути.
	CreateText	Создается или открывается файл для записи текста в кодировке UTF-8.
	Decrypt	Расшифровывает файл, зашифрованный текущей учетной записью с помощью метода Encrypt.
	Delete	Удаляет указанный файл. Если указанный файл не существует, исключение не создается.
	Encrypt	Шифрует файл таким образом, чтобы его можно было расшифровать только с помощью учетной записи, которая использовалась для шифрования.
	Exists	Определяет, существует ли заданный файл.
	GetAccessControl	Перегружен. Получает объект FileSecurity, который инкапсулирует записи списка ACL для заданного файла.
	GetAttributes	Получает тип FileAttributes файла в пути.
	GetCreationTime	Возвращает дату и время создания заданного файла или каталога.
	GetCreationTimeUtc	Возвращает дату и время создания заданного файла или каталога в формате общего скоординированного времени (UTC).
	GetLastAccessTime	Возвращает время и дату последнего обращения к указанному файлу или каталогу.
	GetLastAccessTimeUtc	Возвращает дату и время последнего доступа к заданному файлу или каталогу в формате общего скоординированного времени (UTC).
	GetLastWriteTime	Возвращает время и дату последней операции записи в указанный файл или каталог.
	GetLastWriteTimeUtc	Возвращает дату и время последней операции записи в заданный файл или каталог в формате общего скоординированного времени (UTC).
	Move	Перемещает заданный файл в новое местоположение и разрешает переименование файла.
	Open	Перегружен. Открывает FileStream в заданном пути.
	OpenRead	Открывает для чтения существующий файл.
	OpenText	Открывает для чтения существующий файл, содержащий текст в кодировке UTF-8.
	OpenWrite	Открывает для записи существующий файл.
	ReadAllBytes	Открывает двоичный файл, считывает содержимое файла в массив байтов и затем закрывает файл.
	ReadAllLines	Перегружен. Открывает текстовый файл, считывает все строки файла в массив строк и затем закрывает файл.
	ReadAllText	Перегружен. Открывает текстовый файл, считывает все строки файла в строку и затем закрывает файл.
	Replace	Перегружен. Заменяет содержимое заданного файла на содержимое другого файла, удаляя исходный файл и создавая резервную копию замененного файла.
	SetAccessControl	Применяет записи списка управления доступом (ACL), описанные объектом FileSecurity, к указанному файлу.
	SetAttributes	Устанавливает заданные атрибуты FileAttributes файла в заданном пути.
	SetCreationTime	Устанавливает дату и время создания файла.
	SetCreationTimeUtc	Устанавливает дату и время создания файла, представленные в формате общего скоординированного времени (UTC).
	SetLastAccessTime	Устанавливаются дата и время последнего доступа к заданному файлу.
	SetLastAccessTimeUtc	Устанавливает дату и время последнего доступа к заданному файлу в формате общего скоординированного времени (UTC).
	SetLastWriteTime	Устанавливаются дата и время последней операции записи в заданный файл.
	SetLastWriteTimeUtc	Устанавливает дату и время последней операции записи в заданный файл в формате общего скоординированного времени (UTC).
	WriteAllBytes	Создает новый файл, записывает в него указанный массив байтов и затем закрывает файл. Если целевой файл уже существует, он будет переопределен.
	WriteAllLines	Перегружен. Создает новый файл, записывает в него указанную строку и затем закрывает файл. Если целевой файл уже существует, он будет переопределен.
	WriteAllText	Перегружен. Создает новый файл, записывает в него содержимое и затем закрывает файл. Если целевой файл уже существует, он будет переопределен.

