Классы
/////////////////////////
  	Класс	Описание
	BinaryReader	Считывает простые типы данных как двоичные значения в заданной кодировке.
	BinaryWriter	Записывает простые типы данных в поток как двоичные значения и поддерживает запись строк в определенной кодировке.
	BufferedStream	Обеспечивает дополнительную буферизацию для выполнения операций чтения и записи с другими потоками. Этот класс не может быть унаследован.
	Directory	Предоставляет статические методы для создания, перемещения и перечисления в каталогах и вложенных каталогах. Этот класс не может быть унаследован.
	DirectoryInfo	Предоставляет методы экземпляра класса для создания, перемещения и перечисления в каталогах и подкаталогах. Этот класс не может быть унаследован.
	DirectoryNotFoundException	Исключение, возникающее при невозможности найти часть файла или каталога.
	DriveInfo	Предоставляет доступ к сведениям на диске.
	DriveNotFoundException	Исключение вызывается при попытке доступа к недоступному диску или данным совместного использования.
	EndOfStreamException	Исключение, которое создается при попытке выполнить чтение за пределами потока.
	ErrorEventArgs	Предоставление данных для события Error.
	File	Предоставляет статические методы для создания, копирования, удаления, перемещения и открытия файлов, а также помогает при создании объектов FileStream.
	FileFormatException	Исключение, которое вызывается, если входной файл или поток данных, который должен соответствовать определенной спецификации формата файла, сформирован неверно.
	FileInfo	Предоставляет методы экземпляра для создания, копирования, удаления, перемещения и открытия файлов, а также позволяет создавать объекты FileStream. Этот класс не может быть унаследован.
	FileLoadException	Это исключение создается в случае, когда управляемая сборка найдена, но не может быть загружена.
	FileNotFoundException	Это исключение создается, когда попытка доступа к файлу, не существующему на диске, заканчивается неудачей.
	FileStream	Предоставляет Stream в файле, поддерживая синхронные и асинхронные операции чтения и записи.
	FileSystemEventArgs	Предоставляет данные для событий каталога: Changed, Created, Deleted.
	FileSystemInfo	Обеспечивает базовый класс для объектов FileInfo и DirectoryInfo.
	FileSystemWatcher	Ожидает уведомления файловой системы об изменениях и инициирует события при изменениях каталога или файла в каталоге.
	InternalBufferOverflowException	Исключение, создаваемое при переполнении внутреннего буфера.
	InvalidDataException	Исключение возникает, когда поток данных имеет недопустимый формат.
	IODescriptionAttribute	Задает для визуальных конструкторов описания возможность отображения при обращении к событию, средству расширения или свойству.
	IOException	Исключение, создаваемое при возникновении ошибки ввода-вывода.
	MemoryStream	Создает поток, резервным хранилищем которого является память.
	Path	Выполняет операции для экземпляров класса String, содержащих сведения пути к файлу или каталогу. Эти операции выполняются межплатформенным способом. 
	PathTooLongException	Исключение, создаваемое, когда путь или имя файла превышает максимальную длину, определенную системой.
	PipeException	Thrown when an error occurs within a named pipe.
	RenamedEventArgs	Предоставляет данные для события Renamed.
	Stream	Предоставляет универсальное представление последовательности байтов.
	StreamReader	Реализует TextReader, который считывает символы из потока байтов в определенной кодировке.
	StreamWriter	Реализует TextWriter для записи символов в поток в определенной кодировке.
	StringReader	Реализует класс TextReader, осуществляющий чтение из строки.
	StringWriter	Реализует TextWriter для записи данных в строку. Данные хранятся в основном StringBuilder.
	TextReader	Представляет средство чтения, позволяющее считывать последовательные наборы знаков.
	TextWriter	Представляет средство записи, позволяющее записывать последовательные наборы символов. Это абстрактный класс.
	UnmanagedMemoryStream	Предоставляет доступ к неуправляемым блокам памяти из управляемого кода.

///////////////////////////

Структуры
  	Структура	Описание
	WaitForChangedResult	Содержит сведения о произошедшем изменении.

Делегаты
  	Делегат	Описание
	ErrorEventHandler	Предоставляет метод, обрабатывающий событие Error объекта FileSystemWatcher.
	FileSystemEventHandler	Представляет метод, обрабатывающий события Changed, Created или Deleted класса FileSystemWatcher.
	RenamedEventHandler	Представляет метод, обрабатывающий событие Renamed класса FileSystemWatcher.

Перечисления
  	Перечисление	Описание
	DriveType	Определяет постоянные величины для типов дисков, включая CDRom, Fixed, Network, NoRootDirectory, Ram, Removable и Unknown.
	FileAccess	Определяет константы чтения, записи или чтения и записи файла.
	FileAttributes	Предоставляет атрибуты для файлов и папок.
	FileMode	Описывает, каким образом операционная система должна открывать файл.
	FileOptions	Представляет дополнительные параметры для создания объекта FileStream.
	FileShare	Содержит константы, позволяющие управлять типом доступа, который другие объекты FileStream могут осуществлять к тому же файлу.
	HandleInheritability	Указывает, является ли основной дескриптор наследуемым дочерними процессами.
	NotifyFilters	Задает изменения, наблюдаемые в файле или папке.
	SearchOption	Указывает, следует ли выполнять поиск в текущем каталоге или в текущем каталоге и всех подкаталогах. 
	SeekOrigin	Предоставляет поля, представляющие точки ссылки для поиска в потоках.
	WatcherChangeTypes	Возможные изменения в файле или каталоге.
